title	release_na	release_eu	publisher	developer			
Paperboy 2	1992-04-01	Unreleased	Mindscape				
Parasol Stars: The Story of Bubble Bobble 3	Unreleased	1991-01-01	Ocean Software				
Parodius Da!	Unreleased	1992-01-01	Palcom				
Peter Pan and the Pirates	1991-01-01	Unreleased	THQ				
Phantom Fighter	1990-04-01	Unreleased	FCI				
Pictionary	1990-07-01	Unreleased	LJN				
Pinball	1985-10-18	1986-09-01	Nintendo				
Pinball Quest	1990-06-01	Unreleased	Jaleco				
Pin*Bot	1990-04-01	Unreleased	Nintendo				
Pipe Dream	1990-09-01	Unreleased	Bullet-Proof Software				
Pirates!	1991-10-01	Unreleased	Ultra Games				
Platoon	1988-12-01	Unreleased	Sunsoft				
Popeye	1986-06-01	1986-09-01	Nintendo				
Power Blade	1991-03-01	1992-01-23	Taito				
Power Blade 2	1992-10-01	Unreleased	Taito				
Power Punch II	1992-06-01	Unreleased	American Softworks				
Predator: Soon the Hunt Will Begin	1989-04-01	Unreleased	Activision				
Prince of Persia	1992-11-01	1993-04-29	Virgin Interactive				
Princess Tomato in the Salad Kingdom	1991-02-01	Unreleased	Hudson Soft				
Pro Sport Hockey	1993-11-01	Unreleased	Jaleco				
Pro Wrestling	1987-03-01	1987-09-15	Nintendo				
Punch-Out!!	1990-08-01	1991-01-01	Nintendo				
The Punisher	1990-11-01	Unreleased	LJN				
Puss 'n Boots: Pero's Great Adventure	1990-06-01	Unreleased	Electro Brain				
Puzznic	1990-11-01	1991-04-25	Taito				
Q*bert	1989-02-01	Unreleased	Ultra Games				
Qix	1991-01-01	Unreleased	Taito				
R.B.I. Baseball	1988-01-01	Unreleased	Tengen				
R.C. Pro-Am	1988-02-01	1988-04-15	Nintendo				
R.C. Pro-Am II	1992-12-01	1993-09-23	Tradewest				
Race America	1992-05-01	1990-01-01	Absolute Entertainment (NA)|Milton Bradley Company (EU)				
Racket Attack	1988-10-01	1994-03-24	Jaleco				
Rackets & Rivals	Unreleased	1993-01-01	Palcom				
Rad Racer	1987-10-01	1988-01-15	Nintendo				
Rad Racer II	1990-06-01	Unreleased	Square				
Raid on Bungeling Bay	1987-09-01	Unreleased	Brøderbund				
Rainbow Islands: The Story of Bubble Bobble 2	1991-06-01	1991-01-01	Taito (NA)|Ocean Software (EU)				
Rally Bike	1990-09-01	Unreleased	Romstar				
Rambo	1988-05-01	Unreleased	Acclaim Entertainment				
Rampage	1988-12-01	Unreleased	Data East				
Rampart	1992-01-01	Unreleased	Jaleco				
Remote Control	1990-05-01	Unreleased	Hi Tech Expressions				
The Ren & Stimpy Show: Buckaroo$!	1993-11-01	Unreleased	THQ				
Renegade	1988-01-01	Unreleased	Taito				
Rescue: The Embassy Mission	1990-01-01	1991-03-27	Seika				
Ring King	1987-09-01	Unreleased	Data East				
River City Ransom	1990-01-01	Unreleased	Technōs Japan (NA)|Infogrames (EU)				
Road Fighter	Unreleased	1991-01-01	Palcom				
RoadBlasters	1990-01-01	Unreleased	Mindscape				
Robin Hood: Prince of Thieves	1991-11-01	1992-12-10	Virgin Interactive				
RoboCop	1989-12-01	1991-04-25	Data East				
RoboCop 2	1991-04-01	Unreleased	Data East				
RoboCop 3	1992-08-01	1994-07-28	Ocean Software				
Robowarrior	1988-12-01	1989-09-27	Jaleco				
Rock 'n Ball	1990-01-01	Unreleased	NTVIC				
Rocket Ranger	1990-06-01	Unreleased	Seika				
The Rocketeer	1991-05-01	Unreleased	Bandai				
Rockin' Kats	1991-09-01	1992-11-19	Atlus				
Rod Land	Unreleased	1993-01-01	Jaleco				
Roger Clemens' MVP Baseball	1991-10-01	Unreleased	LJN				
Rollerball	1990-02-01	Unreleased	HAL America				
Rollerblade Racer	1993-02-01	Unreleased	Hi Tech Expressions				
RollerGames	1990-09-01	1991-10-24	Ultra Games				
Romance of the Three Kingdoms	1989-10-01	Unreleased	Koei				
Romance of the Three Kingdoms II	1991-09-01	Unreleased	Koei				
Roundball: 2 on 2 Challenge	1992-05-01	Unreleased	Mindscape				
Rush'n Attack	1987-04-01	1988-01-01	Konami				
Rygar	1987-07-01	1990-03-30	Tecmo				
S.C.A.T.: Special Cybernetic Attack Team	1991-06-01	Unreleased	Natsume (NA)|Imagineer (EU)				
Section Z	1987-07-01	1989-09-27	Capcom				
Seicross	1988-10-01	Unreleased	FCI				
Sesame Street: 1-2-3	1989-01-01	Unreleased	Hi Tech Expressions				
Sesame Street: A-B-C	1989-09-01	Unreleased	Hi Tech Expressions				
Sesame Street: A-B-C/1-2-3	1991-11-01	Unreleased	Hi Tech Expressions				
Sesame Street: Big Bird's Hide & Speak	1990-10-01	Unreleased	Hi Tech Expressions				
Sesame Street: Countdown	1992-02-01	Unreleased	Hi Tech Expressions				
Shadow of the Ninja (aka Blue Shadow )	1990-12-01	1991-07-25	Natsume (NA)|Data East (EU)				
Shadowgate	1989-12-01	1991-05-30	Seika				
Shatterhand	1991-12-01	1992-11-19	Jaleco				
Shingen the Ruler	1990-06-01	Unreleased	Hot-B				
Shooting Range	1989-06-01	Unreleased	Bandai				
Short Order / Eggsplode!	1989-12-01	Unreleased	Nintendo				
Side Pocket	1987-11-30	1992-05-27	Data East				
Silent Service	1989-12-01	1990-11-23	Ultra Games				
Silkworm	1990-06-01	Unreleased	American Sammy				
Silver Surfer	1990-11-01	Unreleased	Arcadia Systems				
The Simpsons: Bart vs. the Space Mutants	1991-02-01	1991-12-12	Acclaim Entertainment				
The Simpsons: Bart vs. the World	1991-12-01	1992-10-22	Acclaim Entertainment				
The Simpsons: Bartman Meets Radioactive Man	1992-12-01	Unreleased	Acclaim Entertainment				
Skate or Die!	1988-12-01	1990-08-17	Ultra Games				
Skate or Die 2: The Search for Double Trouble	1990-09-01	Unreleased	Electronic Arts				
Ski or Die	1991-02-01	1991-10-24	Ultra Games				
Sky Kid	1987-09-01	Unreleased	Sunsoft				
Sky Shark	1989-09-01	Unreleased	Taito				
Slalom	1987-03-01	1987-10-15	Nintendo				
Smash TV	1991-09-01	Unreleased	Acclaim Entertainment				
The Smurfs	Unreleased	1994-01-01	Infogrames				
Snake Rattle 'n' Roll	1990-07-01	Unreleased	Nintendo				
Snake's Revenge	1990-04-01	1991-03-01	Ultra Games (NA)|Konami (EU)				
Snoopy's Silly Sports Spectacular	1990-04-01	Unreleased	Seika				
Snow Brothers	1991-11-01	Unreleased	Capcom				
Soccer	1987-03-01	1987-01-15	Nintendo				
Solar Jetman: Hunt for the Golden Warpship	1990-09-01	1991-09-26	Tradewest				
Solomon's Key	1987-07-01	1990-03-30	Tecmo				
Solstice: The Quest for the Staff of Demnos	1990-06-01	1991-09-26	Sony Imagesoft (NA)|Software Creations (EU)				
Space Shuttle Project	1991-11-01	Unreleased	Absolute Entertainment				
Spelunker	1987-09-01	Unreleased	Brøderbund				
Spider-Man: Return of the Sinister Six	1992-10-01	Unreleased	LJN				
Spot: The Video Game	1990-09-01	Unreleased	Arcadia Systems				
Spy Hunter	1987-09-01	Unreleased	Sunsoft				
Spy vs. Spy	1988-10-01	1990-07-27	Seika				
Sqoon	1987-09-01	Unreleased	Irem				
Stack-Up	1985-10-18	1986-09-01	Nintendo				
Stadium Events	1987-09-01	1990-02-23	Bandai				
Stanley: The Search for Dr. Livingston	1992-10-01	Unreleased	Electro Brain				
Star Force	1987-11-01	1990-04-27	Tecmo				
Star Soldier	1989-01-01	Unreleased	Taxan				
Star Trek: 25th Anniversary	1992-02-01	Unreleased	Ultra Games				
Star Trek: The Next Generation	1993-09-01	Unreleased	Absolute Entertainment				
Star Voyager	1987-09-01	Unreleased	Acclaim Entertainment				
Star Wars	1991-11-01	1992-03-26	JVC (NA)|LucasArts (EU)				
Star Wars: The Empire Strikes Back	1992-03-01	Unreleased	JVC				
Starship Hector	1990-06-01	Unreleased	Hudson Soft				
StarTropics	1990-12-01	1992-08-20	Nintendo				
Stealth ATF	1989-10-01	Unreleased	Activision				
Stinger	1987-09-01	Unreleased	Konami				
Street Cop	1989-06-01	Unreleased	Bandai				
Street Fighter 2010: The Final Fight	1990-09-01	Unreleased	Capcom				
Strider	1989-07-01	Unreleased	Capcom				
Super C	1990-04-01	1992-01-01	Konami				
Super Cars	1991-02-01	Unreleased	Electro Brain				
Super Dodge Ball	1988-06-01	Unreleased	Sony Imagesoft				
Super Glove Ball	1990-10-01	Unreleased	Mattel				
Super Jeopardy!	1991-09-01	Unreleased	GameTek				
Super Mario Bros.	1985-10-18	1987-05-15	Nintendo				
Super Mario Bros./Duck Hunt	1988-11-01	Unreleased	Nintendo				
Super Mario Bros./Duck Hunt/World Class Track Meet	1990-12-01	Unreleased	Nintendo				
Super Mario Bros./Tetris/Nintendo World Cup	Unreleased	1988-11-01	Nintendo				
Super Mario Bros. 2	1988-10-10	1989-04-28	Nintendo				
Super Mario Bros. 3	1990-02-12	1991-08-29	Nintendo				
Super Pitfall	1987-11-01	Unreleased	Activision 				
Super Spike V'Ball	1990-02-01	1992-01-23	Nintendo				
Super Spike V'Ball/Nintendo World Cup	1990-12-01	Unreleased	Nintendo				
Super Spy Hunter	1992-02-01	Unreleased	Sunsoft				
Super Team Games	1988-11-01	Unreleased	Nintendo				
Super Turrican	Unreleased	1993-07-22	Imagineer				
Superman	1988-12-01	Unreleased	Seika				
Swamp Thing	1992-12-01	Unreleased	THQ				
Sword Master	1992-01-01	1993-01-21	Activision				
Swords and Serpents	1990-08-01	1991-11-28	Acclaim Entertainment				
Taboo: The Sixth Sense	1989-04-01	Unreleased	Tradewest				
Tag Team Wrestling	1986-10-01	Unreleased	Data East				
TaleSpin	1991-12-01	1992-09-24	Capcom				
Target: Renegade	1990-03-01	Unreleased	Taito				
Tecmo Baseball	1989-01-01	Unreleased	Tecmo				
Tecmo Bowl	1989-02-01	Unreleased	Tecmo				
Tecmo Cup Soccer Game	1992-09-01	1992-09-24	Tecmo				
Tecmo NBA Basketball	1992-11-01	Unreleased	Tecmo				
Tecmo Super Bowl	1991-12-01	Unreleased	Tecmo				
Tecmo World Cup Soccer	Unreleased	1991-01-01	Tecmo				
Tecmo World Wrestling	1990-04-01	1990-11-23	Tecmo				
Teenage Mutant Ninja Turtles	1989-06-01	1990-08-17	Ultra Games				
Teenage Mutant Ninja Turtles II: The Arcade Game	1990-12-01	1991-11-14	Ultra Games				
Teenage Mutant Ninja Turtles III: The Manhattan Project	1992-02-01	Unreleased	Konami	Konami			
Teenage Mutant Ninja Turtles: Tournament Fighters	1994-02-01	Unreleased	Konami				
Tennis	1985-10-18	1986-09-01	Nintendo				
The Terminator	1992-12-01	Unreleased	Mindscape				
Terminator 2: Judgment Day	1992-02-01	Unreleased	LJN				
Terra Cresta	1990-03-01	Unreleased	Vic Tokai				
Tetris	1989-11-01	1990-02-23	Nintendo				
Tetris 2	1993-10-01	Unreleased	Nintendo				
The Three Stooges	1989-10-01	Unreleased	Activision				
Thunder & Lightning	1990-12-01	Unreleased	Romstar				
Thunderbirds	1990-09-01	Unreleased	Activision				
Thundercade	1989-07-01	Unreleased	American Sammy				
Tiger Heli	1987-09-01	1990-01-17	Acclaim Entertainment				
Time Lord	1990-09-01	Unreleased	Milton Bradley Company				
Times of Lore	1991-05-01	Unreleased	Toho				
Tiny Toon Adventures	1991-12-01	1992-10-22	Konami				
Tiny Toon Adventures 2: Trouble in Wackyland	1993-04-01	1994-01-27	Konami				
Tiny Toon Adventures Cartoon Workshop	1992-12-01	Unreleased	Konami				
To the Earth	1989-11-01	1990-02-23	Nintendo				
Toki	1991-12-01	Unreleased	Taito				
Tom and Jerry	1991-12-01	1992-10-22	Hi Tech Expressions				
Tombs & Treasure	1991-06-01	Unreleased	Activision				
Top Gun	1987-11-01	1988-11-30	Konami				
Top Gun: The Second Mission	1990-01-01	1991-10-24	Konami				
Top Players' Tennis	1990-01-01	Unreleased	Asmik				
Total Recall	1990-08-01	Unreleased	Acclaim Entertainment				
Totally Rad	1991-03-01	Unreleased	Jaleco				
Touch Down Fever	1991-02-01	Unreleased	SNK				
Town & Country Surf Designs: Wood & Water Rage	1988-02-01	Unreleased	LJN				
Town & Country II: Thrilla's Surfari	1992-03-01	Unreleased	Acclaim Entertainment				
Toxic Crusaders	1992-04-01	Unreleased	Bandai				
Track & Field	1987-04-01	Unreleased	Konami				
Track & Field II	1989-06-01	1989-11-22	Konami				
Treasure Master	1991-12-01	Unreleased	American Softworks				
Trog!	1991-10-01	Unreleased	Acclaim Entertainment				
Trojan	1987-02-01	1989-03-23	Capcom				
The Trolls in Crazyland	Unreleased	1991-01-01	American Softworks				
Twin Cobra	1990-01-01	Unreleased	American Sammy				
Twin Eagle	1989-10-01	Unreleased	Romstar				
Ufouria: The Saga	Unreleased	1992-11-19	Sunsoft				
Ultima III: Exodus	1989-02-01	Unreleased	FCI				
Ultima IV: Quest of the Avatar	1990-12-01	Unreleased	FCI				
Ultima V: Warriors of Destiny	1993-01-01	Unreleased	FCI				
Ultimate Air Combat	1992-04-01	Unreleased	Activision				
Ultimate Basketball	1990-09-01	Unreleased	American Sammy				
The Uncanny X-Men	1989-12-01	Unreleased	LJN				
Uncharted Waters	1991-11-01	Unreleased	Koei				
Uninvited	1991-06-01	Unreleased	Seika				
The Untouchables	1991-01-01	Unreleased	Ocean Software				
Urban Champion	1986-08-01	Unreleased	Nintendo				
Vegas Dream	1990-03-01	Unreleased	HAL America				
Vice: Project Doom	1991-11-01	Unreleased	American Sammy				
Videomation	1991-06-01	Unreleased	THQ				
Volleyball	1987-03-01	1987-11-15	Nintendo				
Wacky Races	1992-05-01	Unreleased	Atlus				
Wall Street Kid	1990-06-01	Unreleased	SOFEL				
Wario's Woods	1994-12-10	1995-01-01	Nintendo				
Wayne Gretzky Hockey	1991-01-01	Unreleased	THQ	Nintendo R&D1			Puzzle
Wayne's World	1993-11-01	Unreleased	THQ				
WCW Wrestling	1990-04-01	Unreleased	FCI				
Werewolf: The Last Warrior	1990-11-01	1991-09-26	Data East				
Wheel of Fortune	1988-09-01	Unreleased	GameTek				
Wheel of Fortune Family Edition	1990-03-01	Unreleased	GameTek				
Wheel of Fortune: Featuring Vanna White	1992-01-01	Unreleased	GameTek				
Wheel of Fortune Junior Edition	1989-10-01	Unreleased	GameTek				
Where in Time Is Carmen Sandiego?	1991-10-01	Unreleased	Konami				
Where's Waldo?	1991-09-01	Unreleased	THQ				
Who Framed Roger Rabbit?	1989-09-01	Unreleased	LJN				
Whomp 'Em	1991-03-01	Unreleased	Jaleco				
Widget	1992-11-01	Unreleased	Atlus				
Wild Gunman	1985-10-18	1988-02-15	Nintendo				
Willow	1989-12-01	1991-11-28	Capcom				
Win, Lose, or Draw	1990-03-01	Unreleased	Hi Tech Expressions				
Winter Games	1987-09-01	Unreleased	Acclaim Entertainment				
Wizardry: Proving Grounds of the Mad Overlord	1990-07-01	Unreleased	ASCII				
Wizardry II: The Knight of Diamonds	1992-04-01	Unreleased	ASCII				
Wizards & Warriors	1987-12-01	1990-01-17	Acclaim Entertainment				
Wizards & Warriors III: Kuros: Visions of Power	1992-03-01	1993-01-21	Acclaim Entertainment				
Wolverine	1991-10-01	Unreleased	LJN				
World Champ	1991-04-01	Unreleased	Romstar				
World Class Track Meet	1988-08-01	Unreleased	Nintendo				
World Games	1989-03-01	Unreleased	Milton Bradley Company				
Wrath of the Black Manta	1990-04-01	1991-01-24	Taito				
Wrecking Crew	1985-10-18	1987-10-15	Nintendo				
Wurm: Journey to the Center of the Earth	1991-11-01	Unreleased	Asmik				
WWF King of the Ring	1993-11-01	Unreleased	LJN				
WWF WrestleMania	1989-01-01	Unreleased	Acclaim Entertainment				
WWF WrestleMania Challenge	1990-11-01	Unreleased	LJN				
WWF WrestleMania: Steel Cage Challenge	1992-09-01	Unreleased	Acclaim Entertainment				
Xenophobe	1988-12-01	Unreleased	Sunsoft				
Xevious	1988-09-01	1989-10-25	Bandai				
Xexyz	1990-04-01	Unreleased	Hudson Soft				
Yo! Noid	1990-11-01	Unreleased	Capcom				
Yoshi	1992-06-01	1992-12-30	Nintendo				
Yoshi's Cookie	1993-04-01	1994-04-28	Nintendo				
Young Indiana Jones Chronicles	1993-01-01	Unreleased	Jaleco				
Zanac	1987-10-01	Unreleased	FCI				
Zelda II: The Adventure of Link	1988-12-01	1988-09-26	Nintendo				
Zen the Intergalactic Ninja	1993-03-01	Unreleased	Konami				
Zoda's Revenge: StarTropics II	1994-03-01	Unreleased	Nintendo				
Zombie Nation	1991-09-01	Unreleased	Meldac				
